"カテゴリ","サービスID","サービス名","提供元","公式URL","サービス概要","プランID","プラン名","プラン説明","適用開始","適用終了","金額","通貨","課金","税","出典","備考"
"動画","dazn","DAZN","DAZN","https://www.dazn.com/ja-JP/","スポーツ専門の動画配信サービス。Jリーグ、プロ野球、ボクシングなど多様なスポーツを生配信。NTTドコモドコモやKDDI、ソフトバンクなどとのバンドルプランや、他の動画配信サービスと連携した割安プランなども展開している。 主力プランのDAZNスタンダードのほか、DAZN SOCCER、DAZN BASEBALLといったスポーツを限定したプランや、一部のスポーツのみのDAZN Globalを用意。サッカーと野球は応援チームの専用プランも展開している。 ","dazn-standard","DAZN Standard","","2024-02-14","","4200","JPY","monthly","税込","https://www.dazn.com/ja-JP/",""
"動画","dazn","DAZN","DAZN","https://www.dazn.com/ja-JP/","スポーツ専門の動画配信サービス。Jリーグ、プロ野球、ボクシングなど多様なスポーツを生配信。NTTドコモドコモやKDDI、ソフトバンクなどとのバンドルプランや、他の動画配信サービスと連携した割安プランなども展開している。 主力プランのDAZNスタンダードのほか、DAZN SOCCER、DAZN BASEBALLといったスポーツを限定したプランや、一部のスポーツのみのDAZN Globalを用意。サッカーと野球は応援チームの専用プランも展開している。 ","dazn-standard","DAZN Standard","","2023-02-14","2024-02-13","3700","JPY","monthly","税込","https://av.watch.impress.co.jp/docs/news/1469687.html","価格改定"
"動画","dazn","DAZN","DAZN","https://www.dazn.com/ja-JP/","スポーツ専門の動画配信サービス。Jリーグ、プロ野球、ボクシングなど多様なスポーツを生配信。NTTドコモドコモやKDDI、ソフトバンクなどとのバンドルプランや、他の動画配信サービスと連携した割安プランなども展開している。 主力プランのDAZNスタンダードのほか、DAZN SOCCER、DAZN BASEBALLといったスポーツを限定したプランや、一部のスポーツのみのDAZN Globalを用意。サッカーと野球は応援チームの専用プランも展開している。 ","dazn-standard","DAZN Standard","","2022-02-22","2023-02-13","3000","JPY","monthly","税込","https://av.watch.impress.co.jp/docs/news/1382622.html","価格改定"
"動画","dazn","DAZN","DAZN","https://www.dazn.com/ja-JP/","スポーツ専門の動画配信サービス。Jリーグ、プロ野球、ボクシングなど多様なスポーツを生配信。NTTドコモドコモやKDDI、ソフトバンクなどとのバンドルプランや、他の動画配信サービスと連携した割安プランなども展開している。 主力プランのDAZNスタンダードのほか、DAZN SOCCER、DAZN BASEBALLといったスポーツを限定したプランや、一部のスポーツのみのDAZN Globalを用意。サッカーと野球は応援チームの専用プランも展開している。 ","dazn-standard","DAZN Standard","","2016-08-23","2022-02-21","1750","JPY","monthly","税込","https://av.watch.impress.co.jp/docs/news/1016076.html","サービス開始"
"動画","dazn","DAZN","DAZN","https://www.dazn.com/ja-JP/","スポーツ専門の動画配信サービス。Jリーグ、プロ野球、ボクシングなど多様なスポーツを生配信。NTTドコモドコモやKDDI、ソフトバンクなどとのバンドルプランや、他の動画配信サービスと連携した割安プランなども展開している。 主力プランのDAZNスタンダードのほか、DAZN SOCCER、DAZN BASEBALLといったスポーツを限定したプランや、一部のスポーツのみのDAZN Globalを用意。サッカーと野球は応援チームの専用プランも展開している。 ","dazn-plan-1778415049415","DAZN SOCCER","期間限定の年間プラン","2026-04-21","","2600","JPY","monthly","税込","https://www.dazn.com/ja-JP/news/%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC/dazn-soccer-release/ft7q5kkrmfxs1rnmfbxjo2cwx",""
"動画","dazn","DAZN","DAZN","https://www.dazn.com/ja-JP/","スポーツ専門の動画配信サービス。Jリーグ、プロ野球、ボクシングなど多様なスポーツを生配信。NTTドコモドコモやKDDI、ソフトバンクなどとのバンドルプランや、他の動画配信サービスと連携した割安プランなども展開している。 主力プランのDAZNスタンダードのほか、DAZN SOCCER、DAZN BASEBALLといったスポーツを限定したプランや、一部のスポーツのみのDAZN Globalを用意。サッカーと野球は応援チームの専用プランも展開している。 ","dazn-plan-1778415192234","DAZN BASEBALL","年間プラン・月々払い","2024-02-01","","2300","JPY","monthly","税込","https://dazngroup.com/press-room/0131/",""
"動画","dazn","DAZN","DAZN","https://www.dazn.com/ja-JP/","スポーツ専門の動画配信サービス。Jリーグ、プロ野球、ボクシングなど多様なスポーツを生配信。NTTドコモドコモやKDDI、ソフトバンクなどとのバンドルプランや、他の動画配信サービスと連携した割安プランなども展開している。 主力プランのDAZNスタンダードのほか、DAZN SOCCER、DAZN BASEBALLといったスポーツを限定したプランや、一部のスポーツのみのDAZN Globalを用意。サッカーと野球は応援チームの専用プランも展開している。 ","dazn-plan-1778415456930","DAZN Global","","2023-02-14","","980","JPY","monthly","税込","https://www.dazn.com/ja-JP/help/articles/16184063399709-DAZN-%E3%81%AE%E3%83%95%E3%83%A9%E3%83%B3",""
"動画","d-anime-store","dアニメストア","NTTドコモ","https://animestore.docomo.ne.jp/","NTTドコモが運営するアニメ専門の動画配信サービス。最新作から名作まで6,000タイトル以上を配信。","d-anime-standard","月額プラン","","2021-04-01","","550","JPY","monthly","税込","https://animestore.docomo.ne.jp/",""
"動画","abema-premium","ABEMAプレミアム","AbemaTV","https://abema.tv/","サイバーエージェントとテレビ朝日が共同運営する動画配信サービス「ABEMA」の有料プラン。オリジナルアニメ・ドラマ・スポーツの見逃し配信が可能。","abema-premium-monthly","月額プラン","","2022-04-01","","960","JPY","monthly","税込","https://abema.tv/",""
"動画","lemino","Lemino","NTTドコモ","https://lemino.docomo.ne.jp/","NTTドコモが2023年に開始した動画配信サービス。映画・ドラマ・スポーツ・アニメなどを配信し、一部コンテンツは無料で視聴可能。","lemino-premium","プレミアム","","2023-04-05","","990","JPY","monthly","税込","https://lemino.docomo.ne.jp/","サービス開始時"
"動画","fod","FOD","フジテレビ","https://fod.fujitv.co.jp/","フジテレビが運営する動画配信サービス。フジテレビ系の過去ドラマ・バラエティが充実しており、雑誌読み放題サービスも付帯。","fod-premium","プレミアム","雑誌読み放題含む","2022-01-01","","976","JPY","monthly","税込","https://fod.fujitv.co.jp/",""
"動画","dmm-tv","DMM TV","DMM.com","https://tv.dmm.com/","DMM.comが運営する動画配信サービス。アニメ・映画・ドラマを中心に配信し、DMMポイントとの連携も利用できる。","dmm-tv-standard","プレミアム","","2022-03-01","","550","JPY","monthly","税込","https://tv.dmm.com/","サービス開始時"
